"","X","cohort","task_version","sequence","SOT_trial","SOT_jitter","SOT_cueOn","SOT_cueOff","SOT_predOn","SOT_predResp","SOT_stimOn","SOT_stimOff","SOT_vasOn_1","SOT_vasOn_2","SOT_vasOn_3","SOT_vasOff_1","SOT_vasOff_2","SOT_vasOff_3","SOT_iti","predResp","predRT","predAcc","stim","targetT_1","targetT_2","targetT_3","targetT_4","targetT_5","vasYN","vasResp_1","vasResp_2","vasResp_3","vasRT_1","vasRT_2","vasRT_3","jitterDuration","stimDuration","itiDuration","trialDuration","trialValidity_1","trialValidity_2","trialValidity_3","trialValidity_4","trialSuccess","trial","condition","block_type","cue","trial_type","desired_prob","actual_prob","block_volatility","outcome","cue_prediction","blockwise_trial","blockNumber","location","expected","mu1","mu2","mu3","sa1","sa2","sa3","mu1hat","mu2hat","mu3hat","sa1hat","sa2hat","sa3hat","weight_v_1","weight_v_2","weight_v_3","weight_w_1","weight_w_2","volatility_pe1","volatility_pe2","volatility_pe3","update_ud_1","update_ud_2","update_ud_3","pweights_on_pe1","pweights_on_pe2","pweights_on_pe3","pwpe1","pwpe2","pwpe3","learn_rate1","learn_rate2","learn_rate3","burnbeta","coldbeta","warmbeta","u","predResp2"
"11",10721,1,2,1,135.866247600061,136.637906900025,135.924937600037,136.600628400105,136.789166700095,137.184403800056,138.952073900029,144.064615600044,144.065303400042,146.941176800057,148.378680600086,146.940790800028,148.378351400024,149.560701300041,152.592320500058,"warm",0.395237099961378,"Wrong","cold",32,32,32,22,22,1,7.72569444444444,0,0,2.76322630001232,1.33588389994111,1.06741979997605,0.136620198255764,5.11254170001484,1.38318901543406,18.1092619154313,1,1,1,1,1,11,3,3,"low-tone",2,0.82,0.821428571,0,0,1,11,1,1,"UE",0,0.96887,1,0,0.82918,1.0273,0.84108,1.6663,1,0.13367,0.93253,1.0273,NA,0.14365,0.0024788,NA,0.15404,-0.84108,0.41073,0,-0.84108,-0.6974,0,NA,0.82918,1.1016,NA,-0.6974,0.45245,0.16028,0.82918,0,0,0.0772569444444444,0,0,1
"12",10722,1,2,1,153.989490900072,154.77805730002,154.048471100046,154.743398400024,154.940977300052,156.984315600013,158.713456300087,163.822963100043,NA,NA,NA,NA,NA,NA,163.839852400008,"cold",2.04333829996176,"Right","cold",32,22,22,32,32,0,NA,NA,NA,NA,NA,NA,0.148811060674365,5.10950679995585,1.25323020879629,11.1035917087317,1,0,0,0,1,12,2,3,"high-tone",1,0.82,0.821428571,0,0,1,12,1,2,"E",1,1.193,1,0,0.81476,1.0297,0.72489,0.96887,1,0.19942,0.97282,1.0297,NA,0.14365,0.0024788,NA,0.14766,0.27511,-0.11084,0,0.27511,0.22414,0,NA,0.81476,1.0585,NA,0.22414,-0.11732,0.18213,0.81476,0,NA,NA,NA,1,1
"13",10723,1,2,1,165.107314400026,165.821154800011,165.158513400005,165.804553700029,165.987744800048,166.992316900054,168.754173599998,173.86783220002,173.868404300069,176.849556500092,179.099603200098,176.849133200012,179.099072000012,180.344326000079,180.365633100038,"cold",1.00457210000604,"Wrong","warm",32,32,38,38,38,1,0,11.2847222222222,0,2.8460532000754,2.09300480003003,1.1290148999542,0.139606010089404,5.11365860002115,1.65496972702809,16.9132884270408,1,1,1,1,1,13,4,3,"high-tone",2,0.82,0.821428571,0,1,1,13,1,2,"UE",0,0.56511,1,0,0.81835,1.0322,0.76728,1.193,1,0.17856,0.9584,1.0322,NA,0.14365,0.0024788,NA,0.14988,-0.76728,0.26525,0,-0.76728,-0.62791,0,NA,0.81835,1.077,NA,-0.62791,0.28568,0.20332,0.81835,0,0,0,0.112847222222222,0,1
"14",10724,1,2,1,182.034485000069,182.81166570005,182.099086100003,182.795590000111,182.945317000034,184.240344400052,186.014357200009,191.124707500101,191.124986300012,192.604231600068,193.685179400025,192.60389160004,193.684606500086,194.84160610009,194.853437500075,"cold",1.29502740001772,"Wrong","warm",32,38,38,38,32,1,0,16.4930555555556,0,1.3608372999588,1.0004635999212,1.03224199998658,0.112541100394795,5.11035030009225,1.35200026057435,14.1709527605796,1,1,1,1,1,14,4,3,"high-tone",2,0.82,0.821428571,0,1,1,14,1,2,"UE",0,0.063254,1,0,0.78706,1.0347,0.63763,0.56511,1,0.23106,0.962,1.0347,NA,0.14365,0.0024788,NA,0.14932,-0.63763,0.07995,0,-0.63763,-0.50185,0,NA,0.78706,1.0756,NA,-0.50185,0.085992,0.23618,0.78706,0,0,0,0.164930555555556,0,1
"15",10725,1,2,1,196.219452899997,197.00407340005,196.274597100099,196.967066200101,197.2056018,197.736033700057,199.506208200008,204.61539130006,NA,NA,NA,NA,NA,NA,204.650716000004,"warm",0.53043190005701,"Wrong","cold",32,32,22,22,32,0,NA,NA,NA,NA,NA,NA,0.187178951165616,5.10918310005218,1.98233630744281,10.4135994074494,1,0,0,0,1,15,2,3,"high-tone",1,0.82,0.821428571,0,0,1,15,1,2,"E",1,0.4289,1,0,0.75517,1.0372,0.51581,0.063254,1,0.24975,0.9307,1.0372,NA,0.14365,0.0024788,NA,0.15434,0.48419,-0.044951,0,0.48419,0.36565,0,NA,0.75517,1.1144,NA,0.36565,-0.050094,0.2277,0.75517,0,NA,NA,NA,1,0
"16",10726,1,2,1,206.647523400025,207.347966700094,206.701709900051,207.332213000045,207.479486400029,208.120216600015,209.866437600111,214.973097600043,NA,NA,NA,NA,NA,NA,215.011092700064,"cold",0.640730199986137,"Right","cold",32,22,22,32,32,0,NA,NA,NA,NA,NA,NA,0.112256806704003,5.10665999993216,1.41313352503571,9.77670282507538,1,0,0,0,1,16,2,3,"high-tone",1,0.82,0.821428571,0,0,1,16,1,2,"E",1,0.72073,1,0,0.73996,1.0397,0.60561,0.4289,1,0.23885,0.89881,1.0397,NA,0.14365,0.0024788,NA,0.15982,0.39439,-0.081983,0,0.39439,0.29183,0,NA,0.73996,1.1567,NA,0.29183,-0.09483,0.20523,0.73996,0,NA,NA,NA,1,1
"17",10727,1,2,1,216.442858300055,217.159559800057,216.495303200092,217.1223223001,217.32569940004,218.240479700034,220.010633800062,225.121681200108,NA,NA,NA,NA,NA,NA,225.138993800036,"cold",0.914780299994163,"Right","cold",32,22,22,32,32,0,NA,NA,NA,NA,NA,NA,0.141109487002088,5.11104740004521,1.00316924701776,9.69930474699806,1,0,0,0,1,17,2,3,"high-tone",1,0.82,0.821428571,0,0,1,17,1,2,"E",1,0.96279,1,0,0.73971,1.0421,0.67277,0.72073,1,0.22015,0.88361,1.0421,NA,0.14365,0.0024788,NA,0.16257,0.32723,-0.096539,0,0.32723,0.24206,0,NA,0.73971,1.1794,NA,0.24206,-0.11386,0.18425,0.73971,0,NA,NA,NA,1,1
"18",10728,1,2,1,226.156060700072,226.870591500076,226.207894799998,226.854278800078,227.004391300026,227.75192290009,229.523827100056,234.650464000064,234.650741600082,236.74911720003,237.771530500031,236.748588400078,237.771130900015,238.699020800064,238.714991900022,"cold",0.747531600063667,"TGI","TGI",38,22,38,22,38,1,7.63888888888889,6.51041666666667,0,1.97625039995182,0.944224799983203,0.854956600000151,0.101026599659605,5.12663690000772,1.7419586222457,14.3008898221959,1,1,1,1,1,18,7,3,"high-tone",3,0.82,0.821428571,0,2,1,1001,1,2,"TGI",0.53988,0.8248,1,0,0.75074,1.0446,0.72368,0.96279,1,0.19997,0.88336,1.0446,NA,0.14365,0.0024788,NA,0.16261,-0.1838,-0.12857,0,-0.1838,-0.13799,0,NA,0.75074,1.1826,NA,-0.13799,-0.15204,0.18295,0.75074,0,0,0.0763888888888889,0.0651041666666667,0.539877300613497,1
"19",10729,1,2,1,240.471443800023,241.2456865001,240.533211000031,241.22955820011,241.380748399999,243.071954600047,244.832076300052,249.9419948,NA,NA,NA,NA,NA,NA,249.974552900065,"cold",1.69120620004833,"Wrong","warm",32,38,38,38,32,0,NA,NA,NA,NA,NA,NA,0.121101609928005,5.10991849994753,1.83326103482575,11.3363701348677,1,0,0,0,1,19,1,3,"low-tone",1,0.82,0.821428571,0,1,1,18,1,2,"E",1,1.0539,1,0,0.7519,1.0471,0.69525,0.8248,1,0.21188,0.89439,1.0471,NA,0.14365,0.0024788,NA,0.16061,0.30475,-0.10061,0,0.30475,0.22914,0,NA,0.7519,1.1707,NA,0.22914,-0.11778,0.17904,0.7519,0,NA,NA,NA,1,0
"20",10730,1,2,1,251.822264200076,252.539330000058,251.875505000004,252.522727700067,252.722986100009,254.520063800039,256.274605800048,261.385390700074,NA,NA,NA,NA,NA,NA,261.402070400072,"warm",1.79707770003006,"Right","warm",32,32,38,38,38,0,NA,NA,NA,NA,NA,NA,0.157980217667479,5.11078490002546,1.85271498762367,11.4325211876195,1,0,0,0,1,20,1,3,"low-tone",1,0.82,0.821428571,0,1,1,19,1,2,"E",1,1.2515,1,0,0.76435,1.0496,0.74153,1.0539,1,0.19166,0.89555,1.0496,NA,0.14365,0.0024788,NA,0.1604,0.25847,-0.10292,0,0.25847,0.19756,0,NA,0.76435,1.172,NA,0.19756,-0.12062,0.16197,0.76435,0,NA,NA,NA,1,1
